,Index1,Index2,Interaction Strength
0,4794.0,10598.0,1.7027887
1,17658.0,19714.0,1.7027773
2,9465.0,19853.0,1.702767
3,15309.0,21789.0,1.7027651
4,24519.0,25162.0,1.7027631
5,3234.0,26785.0,1.7027576
6,6410.0,15058.0,1.7027328
7,11856.0,25972.0,1.7027031
8,5839.0,12385.0,1.7027018
9,823.0,14704.0,1.7026957
10,17317.0,20843.0,1.7026792
11,10501.0,12565.0,1.7026781
12,13231.0,21386.0,1.7026772
13,8193.0,15909.0,1.7026734
14,1865.0,16738.0,1.702659
15,8514.0,25972.0,1.7026416
16,8614.0,9521.0,1.7026278
17,16828.0,22299.0,1.7026095
18,4994.0,6232.0,1.7025799
19,3940.0,10384.0,1.7025167
20,7976.0,8614.0,1.7024924
21,15909.0,18496.0,1.7024784
22,420.0,5860.0,1.7024641
23,823.0,8531.0,1.7024641
24,13203.0,17393.0,1.7024077
25,14969.0,25215.0,1.7024045
26,6086.0,17317.0,1.7024004
27,8614.0,13534.0,1.7023882
28,1235.0,24433.0,1.7023839
29,4358.0,4676.0,1.7023338
30,1042.0,26785.0,1.7022868
31,1235.0,14312.0,1.7022796
32,11034.0,27875.0,1.7022675
33,2049.0,8531.0,1.7022368
34,4994.0,14855.0,1.7022355
35,408.0,26018.0,1.7022277
36,11863.0,13371.0,1.7021775
37,12877.0,24519.0,1.7021675
38,4254.0,20497.0,1.702134
39,1994.0,12099.0,1.702108
40,22299.0,24592.0,1.702104
41,20497.0,24681.0,1.7020562
42,16979.0,21335.0,1.7020309
43,15703.0,21335.0,1.7020165
44,3629.0,14454.0,1.702007
45,21335.0,23950.0,1.7019945
46,19714.0,24059.0,1.7019784
47,844.0,23145.0,1.7018939
48,12385.0,27457.0,1.7018734
49,3319.0,12565.0,1.7018684
50,13371.0,27875.0,1.7018365
51,13371.0,27778.0,1.7018318
52,2829.0,26296.0,1.7018222
53,7649.0,15909.0,1.7017622
54,844.0,9257.0,1.7017499
55,6935.0,25972.0,1.7017455
56,8485.0,22196.0,1.7017368
57,14055.0,20497.0,1.7017123
58,3269.0,25162.0,1.7016869
59,10322.0,17317.0,1.7016646
60,4987.0,23648.0,1.7016504
61,21356.0,25775.0,1.7016304
62,2829.0,8578.0,1.7016262
63,19397.0,25972.0,1.7016238
64,16828.0,19567.0,1.7016214
65,2829.0,5082.0,1.7016109
66,11543.0,16738.0,1.7016096
67,16474.0,16625.0,1.7015692
68,530.0,7826.0,1.701563
69,1897.0,15909.0,1.7015018
70,9113.0,15909.0,1.7014916
71,8161.0,25775.0,1.7014893
72,12365.0,15309.0,1.7014102
73,2877.0,24275.0,1.7013924
74,2050.0,24079.0,1.7013888
75,4987.0,16035.0,1.7013878
76,12565.0,21421.0,1.7013811
77,11855.0,12385.0,1.7013129
78,7953.0,17691.0,1.7013111
79,11888.0,17317.0,1.7013069
80,4794.0,20186.0,1.7013026
81,12099.0,24984.0,1.701289
82,14779.0,24709.0,1.7012392
83,12565.0,18702.0,1.7012359
84,16828.0,24275.0,1.7012302
85,11643.0,25162.0,1.701218
86,3423.0,27443.0,1.7012098
87,3718.0,4994.0,1.7011173
88,13134.0,14677.0,1.7011045
89,6410.0,8558.0,1.7010934
90,7455.0,25972.0,1.70109
91,6482.0,25972.0,1.701022
92,1235.0,9308.0,1.7009996
93,5215.0,22288.0,1.7009711
94,8130.0,17929.0,1.7009541
95,4358.0,4415.0,1.7009295
96,21335.0,26018.0,1.7009231
97,17317.0,22969.0,1.700919
98,1994.0,17929.0,1.7009183
99,5215.0,20791.0,1.7009006
100,1235.0,8940.0,1.7008767
101,8467.0,21335.0,1.7008598
102,22196.0,25972.0,1.7008525
103,9544.0,19679.0,1.7008412
104,13371.0,26791.0,1.7008306
105,6925.0,12210.0,1.7008201
