,Index1,Index2,Interaction Strength
0,3581.0,16170.0,5838.744
1,16170.0,27305.0,2275.5154
2,3516.0,3517.0,2107.25
3,16170.0,16256.0,2041.1332
4,3581.0,11574.0,1812.3136
5,11574.0,16170.0,1802.5203
6,15880.0,26530.0,1704.166
7,3581.0,14085.0,1674.4895
8,14085.0,16170.0,1664.6946
9,1981.0,15880.0,1652.7399
10,11574.0,15195.0,1627.2767
11,3516.0,16256.0,1582.0759
12,11574.0,14085.0,1570.6261
13,16170.0,25188.0,1551.003
14,13400.0,16766.0,1471.5073
15,11574.0,14086.0,1469.4178
16,17241.0,19992.0,1373.4779
17,3499.0,16170.0,1357.1781
18,3499.0,3581.0,1311.4672
19,15880.0,16170.0,1305.1466
20,11896.0,17241.0,1282.268
21,13400.0,15188.0,1265.1096
22,16170.0,27250.0,1252.7382
23,16170.0,20272.0,1224.5912
24,11775.0,16170.0,1218.3662
25,17241.0,22439.0,1202.2605
26,3150.0,17241.0,1197.9604
27,1680.0,16170.0,1188.112
28,6080.0,15880.0,1172.7974
29,16170.0,23631.0,1171.6641
30,15188.0,16766.0,1171.1202
31,16256.0,25188.0,1170.3154
32,13820.0,25043.0,1169.3295
33,3581.0,14086.0,1159.8541
34,16170.0,16286.0,1154.8512
35,16170.0,19890.0,1153.5929
36,3499.0,11574.0,1153.4984
37,1181.0,16170.0,1152.742
38,17241.0,19554.0,1143.7804
39,461.0,17241.0,1137.0798
40,3516.0,20799.0,1128.8137
41,16170.0,18170.0,1113.5087
42,16170.0,17951.0,1110.9644
43,14086.0,16170.0,1110.5553
44,8.0,9711.0,1108.2297
45,8927.0,9711.0,1093.0532
46,14162.0,17241.0,1092.2178
47,25786.0,25787.0,1091.4001
48,2531.0,16170.0,1085.7993
49,16170.0,25359.0,1075.3119
50,3516.0,25188.0,1074.5901
51,5722.0,25043.0,1072.7776
52,14520.0,16170.0,1064.0715
53,15880.0,27305.0,1062.2542
54,16373.0,17241.0,1057.2426
55,16170.0,21392.0,1053.6144
56,16256.0,20799.0,1045.4078
57,17241.0,25463.0,1029.2046
